next_stop_distance,total_waiting_time,wifi_count,honks,rsi,Signal,bus_stop,Turn,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end,Congestion
15.9794539876,30,19,0,8.123898,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
172.592273824,2,5,0,8.123898,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
216.854243213,2,18,0,8.123898,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
344.026649021,5,29,0,8.123898,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
37.7902214387,1,0,0,8.123898,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
491.822909946,2,0,0,8.123898,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
301.464461598,14,5,0,8.123898,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
650.705073139,2,0,0,8.123898,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
221.659469782,4,9,0,8.123898,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
176.665647603,2,0,0,8.123898,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
403.782097307,4,10,0,8.123898,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
491.507778261,1,9,0,8.123898,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
702.338971699,16,4,0,8.123898,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
23.7966820182,3,0,0,8.123898,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
298.957791644,1,0,0,8.123898,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
47.6846705314,2,7,0,8.123898,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
47.6846705314,12,7,0,8.123898,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
25.189626675,12,8,27,8.77348650357143,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
131.579802588,103,11,92,9.46233004927537,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
1273.14381066,60,3,36,9.0777437382716,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
55.3037924539,2,0,2,9.36123633333333,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
380.834266318,16,0,13,9.350461375,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0
2800.26145544,9,14,7,8.61572705,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
571.081317595,1,0,0,8.28583525,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
156.156831006,7,7,6,8.21962906153846,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
903.220753217,4,6,12,8.41967782666667,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1
30.2224483937,1,0,2,7.747139,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
303.576920904,34,10,30,9.03005489574468,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
123.299769412,7,33,9,8.49353780833333,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
255.679397372,1,0,1,8.127823,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
489.491804541,2,41,6,6.9474818,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
278.327044008,39,14,25,8.63935652888889,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
