,next_stop_distance,total_waiting_time,wifi_count,honks,rsi,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end,bus_stop
853,0.011363085801462858,0.07923930269413629,0.12987012987012989,0.0,0.5740508848661936,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
854,0.13909731957028904,0.001584786053882726,0.0,0.0,0.52639813763391,0.45676446466567144,0.0,0.5432355353343286,0.0,0.45676446466567144,0.0,0.5432355353343286,0.0,0.5432355353343286,0.45676446466567144,0.5432355353343286,0.45676446466567144,1
855,0.2812075173015556,0.017432646592709985,0.05194805194805195,0.0,0.5246925393713672,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
856,0.16440384886094145,0.014263074484944533,0.0,0.08071748878923767,0.5373050422950468,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
857,0.07141973487604643,0.004339290883190183,0.0,0.00800772357901786,0.5839505314097855,0.0,0.2619074527069942,0.7380925472930058,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
858,0.017573861609482752,0.3898812337954373,0.09346793015069507,0.0,0.579430447785714,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
859,0.03327153659039361,0.001584786053882726,0.0,0.0,0.6013294135216384,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
860,0.003175863423489256,0.011093502377179081,0.14285714285714288,0.08968609865470852,0.5872056268598984,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
861,0.042626269928430896,0.001584786053882726,0.012987012987012988,0.0,0.5754815314769658,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
862,0.2482214721835863,0.003169572107765452,0.0,0.0,0.4891586423009049,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
863,0.11406176195338356,0.009508716323296355,0.0,0.0,0.5717550255376564,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
864,0.11971641286667738,0.009547221165034129,0.11530541849762764,0.0,0.5054588887372554,0.0,0.0,1.0,0.0,0.9757034448634657,0.02429655513653428,0.0,0.02429655513653428,0.9757034448634657,0.0,0.9757034448634657,0.02429655513653428,1
865,0.007269160539502471,0.009508716323296355,0.0,0.008968609865470852,0.5303097717779106,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
866,0.1059503953325795,0.012678288431061807,0.012987012987012988,0.053811659192825115,0.623207896687519,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
